".rownames","Playoffs.fctr","Playoffs.fctr.predict.All.X.glm.prob","Playoffs.fctr.predict.All.X.glm","Playoffs.fctr.predict.All.X.glm.accurate"
"1","Y",0.820413404763404,"Y",TRUE
"10","Y",0.913193662899377,"Y",TRUE
"11","Y",0.999589277763269,"Y",TRUE
"12","Y",0.830554818963438,"Y",TRUE
"13","Y",0.999590895009755,"Y",TRUE
"14","Y",0.999996154444966,"Y",TRUE
"15","Y",0.151176625513326,"N",FALSE
"16","N",0.0350355637710408,"N",TRUE
"17","N",0.000386634033107053,"N",TRUE
"18","Y",0.994466250328104,"Y",TRUE
"19","Y",0.999986183934076,"Y",TRUE
"2","Y",0.957454946987238,"Y",TRUE
"20","N",2.43753457762485e-05,"N",TRUE
"21","N",0.0138235662273807,"N",TRUE
"22","N",0.000401415132907011,"N",TRUE
"23","N",0.011907128152249,"N",TRUE
"24","N",0.000920341489560066,"N",TRUE
"25","Y",0.999951274125038,"Y",TRUE
"26","N",0.0436991491408493,"N",TRUE
"27","N",0.790872782505659,"N",TRUE
"28","N",0.00221838738923083,"N",TRUE
"3","N",5.1003269888222e-05,"N",TRUE
"4","Y",0.927258378046508,"Y",TRUE
"5","N",0.00014555830230827,"N",TRUE
"6","N",0.586117200706465,"N",TRUE
"7","Y",0.999777931981437,"Y",TRUE
"8","N",0.000849954952030202,"N",TRUE
"9","Y",0.897680364199635,"Y",TRUE
