Team, Conf
"Atlanta Hawks"                     , "East"
"Boston Celtics"                    , "East"
"Brooklyn Nets"                     , "East"
"Chicago Bulls"                     , "East"
"Cleveland Cavaliers"               , "East"
"Denver Nuggets"                    , "West"
"Detroit Pistons"                   , "East"
"Golden State Warriors"             , "West"
"Houston Rockets"                   , "West"
"Indiana Pacers"                    , "East"
"Kansas City Kings"                 , "West"
"Los Angeles Lakers"                , "West"
"Milwaukee Bucks"                   , "East"
"New Jersey Nets"                   , "East"
"New York Knicks"                   , "East"
"Philadelphia 76ers"                , "East"
"Phoenix Suns"                      , "West"
"Portland Trail Blazers"            , "West"
"San Antonio Spurs"                 , "West"
"San Diego Clippers"                , "West"
"Seattle SuperSonics"               , "West"
"Utah Jazz"                         , "West"
"Washington Bullets"                , "East"
"Dallas Mavericks"                  , "West"
"Los Angeles Clippers"              , "West"
"Sacramento Kings"                  , "West"
"Charlotte Hornets"                 , "East"
"Miami Heat"                        , "East"
"Minnesota Timberwolves"            , "West"
"Orlando Magic"                     , "East"
"Toronto Raptors"                   , "East"
"Vancouver Grizzlies"               , "West"
"Washington Wizards"                , "East"
"Memphis Grizzlies"                 , "West"
"New Orleans Hornets"               , "East"
"Charlotte Bobcats"                 , "East"
"New Orleans/Oklahoma City Hornets" , "East"
"Oklahoma City Thunder"             , "West"
